Video URL,Thumbnail URL,Title of the Video,Number of Views,Date of Publish
https://www.youtube.com/watch?v=g215XG_RnPU&pp=0gcJCU0KAYcqIYzv,https://img.youtube.com/vi/g215XG_RnPU/maxresdefault.jpg,THEY ARE COMING BACK ☠️,575K views,10 months ago
https://www.youtube.com/watch?v=ODsFBTIdA08,https://img.youtube.com/vi/ODsFBTIdA08/maxresdefault.jpg,IIT FAIL?? I am with you 🫂,852K views,10 months ago
https://www.youtube.com/watch?v=es1kS6H5lRo,https://img.youtube.com/vi/es1kS6H5lRo/maxresdefault.jpg,New year 2025: BIG ANNOUNCEMENT || Trailer,904K views,11 months ago
https://www.youtube.com/watch?v=RTc72tKuEh0,https://img.youtube.com/vi/RTc72tKuEh0/maxresdefault.jpg,Happy INDEPENDENCE Day 🇮🇳 || Big Surprise for All Students !! 🔥 PhysicsWallah,360K views,1 year ago
https://www.youtube.com/watch?v=-R1WXN9C51s,https://img.youtube.com/vi/-R1WXN9C51s/maxresdefault.jpg,Alakh Sir Debate with Arnab Goswami || Republic World || NEET SCAM 2024 || NTA,3.9M views,1 year ago
https://www.youtube.com/watch?v=SmV2MxsWMeU,https://img.youtube.com/vi/SmV2MxsWMeU/maxresdefault.jpg,Alakh sir in SUPREME COURT with J. Sai Deepak 🙏 NEET Scam 2024 || NTA,1.3M views,1 year ago
https://www.youtube.com/watch?v=aH9HzsTO7UA&pp=0gcJCU0KAYcqIYzv,https://img.youtube.com/vi/aH9HzsTO7UA/maxresdefault.jpg,AIR 52 - JEE Advanced 2024 Results || 100% Online || PhysicsWallah 🔥 Reply to ALL HATERS!,585K views,1 year ago
https://www.youtube.com/watch?v=8MiXc9z0yeE,https://img.youtube.com/vi/8MiXc9z0yeE/maxresdefault.jpg,NEET 2024 SCAM - Alakh Sir on NDTV || NTA Jawab Do,2.3M views,1 year ago
https://www.youtube.com/watch?v=5mPAHaagnsw,https://img.youtube.com/vi/5mPAHaagnsw/maxresdefault.jpg,Yakeen 2.O - Official Trailer | NEET 2025 Dropper | 9th May,851K views,1 year ago
https://www.youtube.com/watch?v=O_41nVUK3Dk,https://img.youtube.com/vi/O_41nVUK3Dk/maxresdefault.jpg,Why it's always you beta ? 🥺 | NEET 2024 Failure  | Alakh Pandey,952K views,1 year ago
